海防艦		DE
駆逐艦		DD
軽巡洋艦		CL
重雷装巡洋艦	CLT
重巡洋艦		CA
航空巡洋艦		CAV
軽空母		CVL
戦艦			BB
高速戦艦		FBB
航空戦艦		BBV
正規空母		CV
超弩級戦艦		BB*
潜水艦		SS
潜水空母		SSV
補給艦		AO
水上機母艦		AV
上陸艦		LHA
装甲空母		CVB
工作艦		AR
潜水母艦		AS
練習巡洋艦		CT


睦月	Mutsuki
如月	Kisaragi
長月	Nagatsuki
三日月	Mikazuki
吹雪	Fubuki
白雪	Shirayuki
深雪	Miyuki
磯波	Isonami
綾波	Ayanami
敷波	Shikinami
曙	Akebono
潮	Ushio
陽炎	Kagerō
不知火	Shiranui
黒潮	Kuroshio
雪風	Yukikaze
長良	Nagara
五十鈴	Isuzu
由良	Yura
大井	Ōi
北上	Kitakami
扶桑	Fusō
山城	Yamashiro
皐月	Satsuki
文月	Fumizuki
菊月	Kikuzuki
望月	Mochizuki
初雪	Hatsuyuki
叢雲	Murakumo
暁	Akatsuki
響	Hibiki
雷	Ikazuchi
電	Inazuma
初春	Hatsuharu
子日	Nenohi
若葉	Wakaba
初霜	Hatsushimo
白露	Shiratsuyu
時雨	Shigure
村雨	Murasame
夕立	Yūdachi
五月雨	Samidare
涼風	Suzukaze
霰	Arare
霞	Kasumi
島風	Shimakaze
天龍	Tenryū
龍田	Tatsuta
名取	Natori
川内	Sendai
神通	Jintsū
那珂	Naka
大井改	Ōi Kai
北上改	Kitakami Kai
古鷹	Furutaka
加古	Kako
青葉	Aoba
妙高	Myōkō
那智	Nachi
足柄	Ashigara
羽黒	Haguro
高雄	Takao
愛宕	Atago
摩耶	Maya
鳥海	Chōkai
最上	Mogami
利根	Tone
筑摩	Chikuma
最上改	Mogami Kai
祥鳳	Shōhō
飛鷹	Hiyō
龍驤	Ryūjō
伊勢	Ise
金剛	Kongō
榛名	Haruna
長門	Nagato
陸奥	Mutsu
伊勢改	Ise Kai
赤城	Akagi
加賀	Kaga
霧島	Kirishima
比叡	Hiei
日向	Hyūga
日向改	Hyūga Kai
鳳翔	Hōshō
蒼龍	Sōryū
飛龍	Hiryū
隼鷹	Jun'yō
朧	Oboro
漣	Sazanami
朝潮	Asashio
大潮	Ōshio
満潮	Michishio
荒潮	Arashio
球磨	Kuma
多摩	Tama
木曾	Kiso
千歳	Chitose
千代田	Chiyoda
千歳改	Chitose Kai
千代田改	Chiyoda Kai
千歳甲	Chitose A
千代田甲	Chiyoda A
千歳航	Chitose Carrier
千代田航	Chiyoda Carrier
翔鶴	Shōkaku
瑞鶴	Zuikaku
瑞鶴改	Zuikaku Kai
鬼怒	Kinu
阿武隈	Abukuma
夕張	Yūbari
瑞鳳	Zuihō
瑞鳳改	Zuihō Kai
大井改二	Ōi Kai Ni
北上改二	Kitakami Kai Ni
三隈	Mikuma
三隈改	Mikuma Kai
舞風	Maikaze
衣笠	Kinugasa
鈴谷	Suzuya
熊野	Kumano
伊168	I-168
