quest_101_code	A1
quest_101_name	첫 "편성"!
quest_101_desc	2척 이상의 함선으로 이루어진 함대를 "편성"하라!
quest_102_code	A2
quest_102_name	구축대를 편성하라!
quest_102_desc	구축함 4척 이상으로 이루어진 "구축대"를 편성하라!
quest_103_code	A3
quest_103_name	"수뢰전대"를 편성하라!
quest_103_desc	경순양함을 기함으로 하여, 수 척의 구축함으로 이루어진 "수뢰전대"를 편성하라!
quest_104_code	A4
quest_104_name	6척 편성 함대를 편성하라!
quest_104_desc	총 6척으로 이루어진 주력함대를 편성하라!
quest_105_code	A5
quest_105_name	경순 2척을 거느린 함대를 편성하라!
quest_105_desc	경순양함 2척을 거느린 고속함대를 편성하라!
quest_106_code	A7
quest_106_name	"중순전대"를 편성하라!
quest_106_desc	중순양함 2척을 거느린 중순함대를 편성하라!
quest_107_code	A11
quest_107_name	제2함대를 편성하라!
quest_107_desc	두번째 함대, 제2함대의 기함을 지정하여 제2함대를 편성하라!
quest_108_code	A8
quest_108_name	"텐류"급 경순자매 전 2척을 편성하라!
quest_108_desc	"텐류"급 경순양함 "텐류", "타츠타"를 동일 함대에 배치하라!
quest_109_code	A14
quest_109_name	"센다이"급 경순 자매 전 3척을 편성하라!
quest_109_desc	"센다이"급 경순양함 "센다이", "진츠", "나카"를 동일함대에 편성하라!
quest_110_code	A15
quest_110_name	"묘코"급 중순 자매 전 4척을 편성하라!
quest_110_desc	"묘코"급 중순양함 "묘코", "나치", "아시가라", "하구로"를 동일함대에 편성하라!
quest_111_code	A17
quest_111_name	"후소"급 전함 자매 전 2척을 편성하라!
quest_111_desc	"후소"급 전함 "후소", "야마시로"를 동일함대에 배치하라!
quest_112_code	A18
quest_112_name	"이세"급 전함자매 전 2척을 편성하라!
quest_112_desc	"이세"급 전함 "이세", "휴가"를 동일함대에 배치하라!
quest_113_code	A13
quest_113_name	전함과 중순으로 이루어진 주력함대를 편성하라!
quest_113_desc	전함 1척 이상, 중순양함 2척 이상을 주력으로 한 수상타격함대를 편성하라!
quest_114_code	A19
quest_114_name	나구모 기동부대를 편성하라!
quest_114_desc	1항전 "아카기", "카가", 2항전 "히류", "소류"로 이루어진 제1기동부대를 편성하라!
quest_115_code	A6
quest_115_name	제2함대를 편성하라!
quest_115_desc	두번째 함대, 제2함대의 기함을 지정하여 제2함대를 편성하라!
quest_116_code	A9
quest_116_name	"수상기모함"을 배치하라!
quest_116_desc	다수의 수상정찰기를 운용하는 "수상기모함"을 함대에 배치하라!
quest_117_code	A11
quest_117_name	제2함대에 항모기동부대를 편성하라!
quest_117_desc	제2함대에 항모를 배치하고, 항모기동부대를 편성하라!
quest_118_code	A16
quest_118_name	"콩고"급으로 편성된 고속전함부대를 편성하라!
quest_118_desc	"콩고"급 전함 "콩고", "히에이", "하루나", "키리시마" 전 4척의 고속전함을 집중 배치하라!
quest_119_code	A20
quest_119_name	"미카와 함대"를 편성하라!
quest_119_desc	"후루타카", "카코", "아오바", "초카이", "텐류"를 포함한 고속함대를 편성하라!
quest_120_code	A10
quest_120_name	"제6구축대"를 편성하라!
quest_120_desc	"아카츠키", "히비키", "이카즈치", "이나즈마" 4척으로 이루어진 제6구축대를 편성하라!
quest_121_code	A21
quest_121_name	"제4전대"를 편성하라!
quest_121_desc	"아타고", "타카오", "초카이", "마야"를 기반으로 한 제4전대를 편성하라!
quest_122_code	A22
quest_122_name	"니시무라 함대"를 편성하라!
quest_122_desc	"후소", "야마시로", "모가미", "시구레"를 기반으로 한 니시무라 함대를 편성하라!
quest_123_code	A23
quest_123_name	"제5항공전대"를 편성하라!
quest_123_desc	"쇼카쿠", "즈이카쿠"를 기반으로 구축함 2척을 더한 제5항공전대를 편성하라!
quest_124_code	A24
quest_124_name	신 "미카와 함대"를 편성하라!
quest_124_desc	"초카이", "아오바", "키누가사", "카코", "후루타카", "텐류"로 이루어진 미카와 함대를 편성하라!
quest_125_code	A25
quest_125_name	잠수함대를 편성하라!
quest_125_desc	이호 잠수함 2척으로 이루어진 잠수함대를 편성하라!　※잠수함모함는 안됩니다. ※"마루유", "U-511", "로500" 편성으로도 됩니다.
quest_126_code	A26
quest_126_name	항공수상타격함대를 편성하라!
quest_126_desc	항공전함 2척과 항공순양함 2척을 기반으로 한 부대를 편성하라!
quest_127_code	A27
quest_127_name	중규모 잠수함대를 편성하라!
quest_127_desc	이호 잠수함 3척 이상으로 이루어진 잠수함대를 편성하라! ※잠수함모함는 안됩니다. ※"마루유", "U-511", "로500" 편성으로도 됩니다.
quest_128_code	A28
quest_128_name	"제6전대"를 편성하라!
