quest_101_code	A1
quest_101_name	The First Attempt at Fleet Organization!
quest_101_desc	Have 2 ships in your main fleet.
quest_102_code	A2
quest_102_name	Form a Destroyer Division!
quest_102_desc	Have 4 DD in your main fleet.
quest_103_code	A3
quest_103_name	Form a Torpedo Squadron!
quest_103_desc	Have a CL as a flagship and 5 DD in your main fleet.
quest_104_code	A4
quest_104_name	Form a Six-Ship Fleet Formation!
quest_104_desc	Have 6 ships in your fleet.
quest_105_code	A5
quest_105_name	Form a Division with Two Light Cruisers!
quest_105_desc	Have 2 CL in your main fleet.
quest_106_code	A7
quest_106_name	Form a Heavy Cruiser Division!
quest_106_desc	Have 2 CA (not CAV) in your main fleet.
quest_107_code	A12
quest_107_name	Form a Carrier Task Force!
quest_107_desc	Have a CV(B/L) as flagship and 3 DD in your main fleet.
quest_108_code	A8
quest_108_name	Arrange Both of the Tenryuu-class Light Cruiser Sisters!
quest_108_desc	Have Tenryuu and Tatsuta in your main fleet.
quest_109_code	A14
quest_109_name	Arrange the Three Sendai-class Light Cruiser Sisters!
quest_109_desc	Have Sendai, Jintsuu and Naka in your main fleet.
quest_110_code	A15
quest_110_name	Arrange the Four Myoukou-class Heavy Cruiser Sisters!
quest_110_desc	Have Myoukou, Nachi, Ashigara and Haguro in your main fleet.
quest_111_code	A17
quest_111_name	Arrange Both of the Fusou-class Battleship Sisters!
quest_111_desc	Have Fusou and Yamashiro in your main fleet.
quest_112_code	A18
quest_112_name	Arrange Both of the Ise-class Battleship Sisters!
quest_112_desc	Have Ise and Hyuuga in your main fleet.
quest_113_code	A13
quest_113_name	Form a Main Fleet with a Battleship and Heavy Cruisers!
quest_113_desc	Have a BB (not BBV) and 2 CA in your main fleet.
quest_114_code	A19
quest_114_name	Form the Nagumo Task Force!
quest_114_desc	Have ONLY Akagi, Kaga, Hiryuu and Souryuu in your main fleet.
quest_115_code	A6
quest_115_name	Form the Second Fleet!
quest_115_desc	Have a ship in your second fleet.
quest_116_code	A9
quest_116_name	Deploy a Seaplane Tender!
quest_116_desc	Have an AV in your main fleet.
quest_117_code	A11
quest_117_name	Form a Carrier Task Force in the Second Fleet!
quest_117_desc	Have a CV(B/L) and 3 DD in your second fleet.
quest_118_code	A16
quest_118_name	Arrange the Kongou-class Fast Battleship Forces!
quest_118_desc	Have Kongou, Hiei, Haruna and Kirishima in your main fleet.
quest_119_code	A20
quest_119_name	Form the Mikawa Fleet!
quest_119_desc	Have Choukai, Aoba, Kako, Furutaka, Tenryuu and a FAST ship in your main fleet.
quest_120_code	A10
quest_120_name	Form the 6th Destroyer Division!
quest_120_desc	Have ONLY Akatsuki, Hibiki, Inazuma and Ikazuchi in your fleet.
quest_121_code	A21
quest_121_name	Form the 4th Cruiser Division!
quest_121_desc	Have Atago, Takao, Choukai and Maya in your main fleet.
quest_122_code	A22
quest_122_name	Form the Nishimura Fleet!
quest_122_desc	Have Fusou, Yamashiro, Mogami and Shigure in your main fleet.
quest_123_code	A23
quest_123_name	Form the 5th Carrier Division!
quest_123_desc	Have Shoukaku, Zuikaku and 2 DD in your main fleet.
quest_124_code	A24
quest_124_name	Form the New Mikawa Fleet!
quest_124_desc	Have Choukai, Aoba, Kinugasa, Kako, Furutaka and Tenryuu in your main fleet.
quest_125_code	A25
quest_125_name	Form a Submarine Fleet!
quest_125_desc	Have 2 SS(V) in your fleet.
quest_126_code	A26
quest_126_name	Form an Aviation Surface Attack Fleet!
