12cm単装砲	12cm 단장포
12.7cm連装砲	12.7cm 연장포
10cm連装高角砲	10cm 연장고각포
14cm単装砲	14cm 단장포
15.5cm三連装砲	15.5cm 삼연장포
20.3cm連装砲	20.3cm 연장포
35.6cm連装砲	35.6cm 연장포
41cm連装砲	41cm 연장포
46cm三連装砲	46cm 삼연장포
12.7cm連装高角砲	12.7cm 연장고각포
15.2cm単装砲	15.2cm 단장포
15.5cm三連装副砲	15.5cm 삼연장포(부포)
61cm三連装魚雷	61cm 삼연장어뢰
61cm四連装魚雷	61cm 사연장어뢰
61cm四連装(酸素)魚雷	61cm 사연장(산소)어뢰
九七式艦攻	97식 함상공격기
天山	텐잔
流星	류세이
九六式艦戦	96식 함상전투기
零式艦戦21型	영식 함상전투기 21형
零式艦戦52型	영식 함상전투기 52형
烈風	렛푸
九九式艦爆	99식 함상폭격기
彗星	스이세이
零式水上偵察機	영식 수상정찰기
瑞雲	즈이운
13号対空電探	13호 대공전탐
22号対水上電探	22호 대수상전탐
33号対水上電探	33호 대수상전탐
21号対空電探	21호 대공전탐
32号対水上電探	32호 대수상전탐
42号対空電探	42호 대공전탐
改良型艦本式タービン	개량형 함본식 터빈
強化型艦本式缶	강화형 함본식 보일러
三式弾	삼식탄
九一式徹甲弾	91식 철갑탄
7.7mm機銃	7.7mm 기관총
12.7mm単装機銃	12.7mm 단장기관총
25mm連装機銃	25mm 연장기관총
25mm三連装機銃	25mm 삼연장기관총
甲標的	갑표적 甲형
応急修理要員	응급수리요원
応急修理女神	응급수리여신
九四式爆雷投射機	94식 폭뢰투사기
三式爆雷投射機	3식 폭뢰투사기
九三式水中聴音機	93식 소나
三式水中探信儀	3식 소나
12cm単装高角砲	12cm 단장고각포
25mm単装機銃	25mm 단장기관총
20.3cm(3号)連装砲	20.3cm (3호)연장포
12cm30連装噴進砲	12cm 30연장분진포
流星改	류세이改
烈風改	렛푸改
彩雲	사이운
紫電改二	시덴 改2
震電改	신덴改
彗星一二型甲	스이세이 12형甲
61cm五連装(酸素)魚雷	61cm 오연장(산소)어뢰
零式水上観測機	영식 수상관측기
零式艦戦62型(爆戦)	영식 함상전투기 62형(폭전)
二式艦上偵察機	2식 함상정찰기
試製晴嵐	시제 세이란
12.7cm連装砲B型改二	12.7cm 연장포B형 改2
Ju87C改	Ju87C 改
15.2cm連装砲	15.2cm 연장포
8cm高角砲	8cm 고각포
53cm艦首(酸素)魚雷	53cm 함수(산소)어뢰
大発動艇	대발동정
カ号観測機	카호 관측기
三式指揮連絡機(対潜)	삼식 지휘연락기(대잠)
10cm連装高角砲(砲架)	10cm 연장고각포(포가)
増設バルジ(中型艦)	증설벌지(중형함)
増設バルジ(大型艦)	증설벌지(대형함)
探照灯	탐조등
ドラム缶(輸送用)	드럼통(수송용)
38cm連装砲	38cm 연장포
15cm連装副砲	15cm 연장포
12.7cm単装砲	12.7cm 단장포
瑞雲(六三四空)	즈이운(634 해군항공대)
瑞雲12型	즈이운 12형
瑞雲12型(六三四空)	즈이운 12형(634 해군항공대)
九七式艦攻(九三一空)	97식 함상공격기(931 항공대)
天山(九三一空)	텐잔 (931 항공대)
2cm 四連装FlaK 38	2cm 사연장 FlaK 38
3.7cm FlaK M42	3.7cm FlaK M42
艦艇修理施設	함정수리시설
新型高温高圧缶	신형 고온고압 보일러
22号対水上電探改四	22호 대수상전탐改4
