海防艦		해방함
駆逐艦		구축함
軽巡洋艦		경순양함
重雷装巡洋艦	중뇌장순양함
重巡洋艦		중순양함
航空巡洋艦		항공순양함
軽空母		경공모
戦艦			전함
高速戦艦		고속전함
航空戦艦		항공전함
正規空母		정규공모
超弩級戦艦		초노급전함
潜水艦		잠수함
潜水空母		잠수항모
補給艦		보급선
水上機母艦		수상기모함
上陸艦		상륙함
装甲空母		장갑항모
工作艦		공작함
潜水母艦		잠수모함
練習巡洋艦		연습순양함


睦月		무츠키
如月		키사라기
長月		나가츠키
三日月	미카즈키
吹雪		후부키
白雪		시라유키
深雪		미유키
磯波		이소나미
綾波		아야나미
敷波		시키나미
曙		아케보노
潮		우시오
陽炎		카게로
不知火	시라누이
黒潮		쿠로시오
雪風		유키카제
長良		나가라
五十鈴	이스즈
由良		유라
大井		오오이
北上		키타카미
扶桑		후소
山城		야마시로
皐月		사츠키
文月		후미즈키
菊月		키쿠즈키
望月		모치즈키
初雪		하츠유키
叢雲		무라쿠모
暁		아카츠키
響		히비키
雷		이카즈치
電		이나즈마
初春		하츠하루
子日		네노히
若葉		와카바
初霜		하츠시모
白露		시라츠유
時雨		시구레
村雨		무라사메
夕立		유다치
五月雨	사미다레
涼風		스즈카제
霰		아라레
霞		카스미
島風		시마카제
天龍		텐류
龍田		타츠타
名取		나토리
川内		센다이
神通		진츠
那珂		나카
大井改	오오이改
北上改	키타카미改
古鷹		후루타카
加古		카코
青葉		아오바
妙高		묘코
那智		나치
足柄		아시가라
羽黒		하구로
高雄		타카오
愛宕		아타고
摩耶		마야
鳥海		쵸카이
最上		모가미
利根		토네
筑摩		치쿠마
最上改	모가미改
祥鳳		쇼호
飛鷹		히요
龍驤		류죠
伊勢		이세
金剛		콩고
榛名		하루나
長門		나가토
陸奥		무츠
伊勢改	이세改
赤城		아카기
加賀		카가
霧島		키리시마
比叡		히에이
日向		휴가
日向改	휴가改
鳳翔		호쇼
蒼龍		소류
飛龍		히류
隼鷹		준요
朧		오보로
漣		사자나미
朝潮		아사시오
大潮		오오시오
満潮		미치시오
荒潮		아라시오
球磨		쿠마
多摩		타마
木曾		키소
千歳		치토세
千代田	치요다
千歳改	치토세改
千代田改	치요다改
千歳甲	치토세甲
千代田甲	치요다甲
千歳航	치토세航
千代田航	치요다航
翔鶴		쇼카쿠
瑞鶴		즈이카쿠
瑞鶴改	즈이카쿠改
鬼怒		키누
阿武隈	아부쿠마
夕張		유바리
瑞鳳		즈이호
瑞鳳改	즈이호改
大井改二	오오이改2
北上改二	키타카미改2
三隈		미쿠마
三隈改	미쿠마改
舞風		마이카제
衣笠		키누가사
鈴谷		스즈야
熊野		쿠마노
伊168	이-168
伊58		이-58
伊8		이-8
鈴谷改	스즈야改
熊野改	쿠마노改
大和		야마토
秋雲		아키구모
夕雲		유구모
巻雲		마키구모
長波		나가나미
大和改	야마토改
阿賀野	아가노
能代		노시로
矢矧		야하기
酒匂		사카와
五十鈴改二	이스즈改2
衣笠改二	키누가사改2
武蔵		무사시
夕立改二	유다치改2
時雨改二	시구레改2
木曾改二	키소改2
Верный	베르니
武蔵改	무사시改
金剛改二	콩고改2
比叡改二	히에이改2
榛名改二	하루나改2
霧島改二	키리시마改2
大鳳		다이호
香取		카토리
伊401	이-401
大鳳改	다이호改
龍驤改二	류죠改2
川内改二	센다이改2
神通改二	진츠改2
那珂改二	나카改2
あきつ丸	아키츠마루
神威		카모이
まるゆ	마루유
弥生		야요이
卯月		우즈키
あきつ丸改	아키츠마루改
磯風		이소카제
浦風		우라카제
谷風		타니카제
浜風		하마카제
Bismarck		비스마르크
Bismarck改		비스마르크改
Bismarck zwei	비스마르크 zwei
Z1	레베
Z3	막스
Prinz Eugen	프린츠 오이겐
Prinz Eugen改	프린츠 오이겐改
Bismarck drei	비스마르크 drei
Z1 zwei	레베 zwei
Z3 zwei	막스 zwei
天津風	아마츠카제
明石		아카시
大淀		오요도
大鯨		타이게이
龍鳳		류호
時津風	토키츠카제
明石改	아카시改
利根改二	토네改2
筑摩改二	치쿠마改2
初風		하츠카제
伊19		이-19
那智改二	나치改2
足柄改二	아시가라改2
羽黒改二	하구로改2
綾波改二	아야나미改2
飛龍改二	히류改2
蒼龍改二	소류改2
大潮改二	오오시오改2
阿武隈改二	아부쿠마改2
吹雪改	후부키改
白雪改	시라유키改
初雪改	하츠유키改
深雪改	미유키改
叢雲改	무라쿠모改
磯波改	이소나미改
綾波改	아야나미改
敷波改	시키나미改
金剛改	콩고改
比叡改	히에이改
榛名改	하루나改
霧島改	키리시마改
天龍改	텐류改
龍田改	타츠타改
球磨改	쿠마改
多摩改	타마改
木曾改	키소改
長良改	나가라改
五十鈴改	이스즈改
由良改	유라改
名取改	나토리改
川内改	센다이改
神通改	진츠改
那珂改	나카改
陽炎改	카게로改
不知火改	시라누이改
黒潮改	쿠로시오改
雪風改	유키카제改
島風改	시마카제改
朧改		오보로改
曙改		아케보노改
漣改		사자나미改
潮改		우시오改
暁改		아카츠키改
響改		히비키改
雷改		이카즈치改
電改		이나즈마改
初春改	하츠하루改
子日改	네노히改
若葉改	와카바改
初霜改	하츠시모改
白露改	시라츠유改
時雨改	시구레改
村雨改	무라사메改
夕立改	유다치改
五月雨改	사미다레改
涼風改	스즈카제改
朝潮改	아사시오改
大潮改	오오시오改
満潮改	미치시오改
荒潮改	아라시오改
霰改		아라레改
霞改		카스미改
睦月改	무츠키改
如月改	키사라기改
皐月改	사츠키改
文月改	후미즈키改
長月改	나가츠키改
菊月改	키쿠즈키改
三日月改	미카즈키改
望月改	모치즈키改
古鷹改	후루타카改
加古改	카코改
青葉改	아오바改
妙高改	묘코改
那智改	나치改
足柄改	아시가라改
羽黒改	하구로改
高雄改	타카오改
愛宕改	아타고改
摩耶改	마야改
鳥海改	쵸카이改
利根改	토네改
筑摩改	치쿠마改
長門改	나가토改
